category,metric,ppo_cbf,cdfs,winner,difference_positive_means_ppo_better,ppo_improvement_over_cdfs_percent,better_when
Safety,collision,False,False,Tie,0.0,,lower
Safety,safety_violation_rate,0.07213656387665199,0.009944751381215469,CDFS,-0.06219181249543652,-625.3732256485561,lower
Safety,min_hard_margin_m,-2.771561225867492,-3.5298592189367923,PPO + CBF,0.7582979930693003,21.482386294649526,higher
Efficiency,arrival_time_s,181.6,181.0,CDFS,-0.5999999999999943,-0.3314917127071792,lower
Efficiency,mean_speed,22.037097877576567,22.10008935480542,CDFS,-0.06299147722885223,-0.28502815630089495,higher
Efficiency,energy_accel_sq,215.10617806438594,404.77685161073146,PPO + CBF,189.6706735463455,46.85808311211168,lower
Distance keeping,mean_abs_gap_error_to_soft_m,41.718863966392426,37.151981849198194,CDFS,-4.566882117194233,-12.292432031570867,lower
Distance keeping,rmse_gap_error_to_soft_m,99.33681024528877,92.78767128717527,CDFS,-6.549138958113502,-7.0581995078248045,lower
Distance keeping,mean_soft_violation_m,1.548540277643829,0.20714971491102646,CDFS,-1.3413905627328027,-647.5464198968111,lower
Comfort,mean_abs_accel,0.8222039325624378,1.156681615363067,PPO + CBF,0.3344776828006292,28.917005194695783,lower
Comfort,accel_rms,1.0883498453241818,1.4954384630416926,PPO + CBF,0.4070886177175108,27.222024026953306,lower
Comfort,jerk_abs_mean,0.34538255699623366,0.659984047577683,PPO + CBF,0.3146014905814494,47.66804466503706,lower
Comfort,jerk_rms,0.6676747528981296,1.0201583682279018,PPO + CBF,0.35248361532977224,34.5518525659957,lower
